Alter,Angestellter,Beamter,Selbstständiger,Rentner,Rentner_Pension,CHECK_COLUMN_IF_NOT_1_ERROR
18,"0,97","0,02","0,01",0,0,1
19,"0,97","0,02","0,01",0,0,1
20,"0,94","0,04","0,02",0,0,1
21,"0,94","0,04","0,02",0,0,1
22,"0,94","0,04","0,02",0,0,1
23,"0,94","0,04","0,02",0,0,1
24,"0,94","0,04","0,02",0,0,1
25,"0,91","0,06","0,03",0,0,1
26,"0,91","0,06","0,03",0,0,1
27,"0,91","0,06","0,03",0,0,1
28,"0,91","0,06","0,03",0,0,1
29,"0,91","0,06","0,03",0,0,1
30,"0,9","0,06","0,04",0,0,1
31,"0,9","0,06","0,04",0,0,1
32,"0,9","0,06","0,04",0,0,1
33,"0,9","0,06","0,04",0,0,1
34,"0,9","0,06","0,04",0,0,1
35,"0,88","0,07","0,05",0,0,1
36,"0,88","0,07","0,05",0,0,1
37,"0,88","0,07","0,05",0,0,1
38,"0,88","0,07","0,05",0,0,1
39,"0,88","0,07","0,05",0,0,1
40,"0,87","0,07","0,06",0,0,1
41,"0,87","0,07","0,06",0,0,1
42,"0,87","0,07","0,06",0,0,1
43,"0,87","0,07","0,06",0,0,1
44,"0,87","0,07","0,06",0,0,1
45,"0,86","0,06","0,08",0,0,1
46,"0,86","0,06","0,08",0,0,1
47,"0,86","0,06","0,08",0,0,1
48,"0,86","0,06","0,08",0,0,1
49,"0,86","0,06","0,08",0,0,1
50,"0,87","0,06","0,07",0,0,1
51,"0,87","0,06","0,07",0,0,1
52,"0,87","0,06","0,07",0,0,1
53,"0,87","0,06","0,07",0,0,1
54,"0,87","0,06","0,07",0,0,1
55,"0,87","0,05","0,08",0,0,1
56,"0,87","0,05","0,08",0,0,1
57,"0,87","0,05","0,08",0,0,1
58,"0,87","0,05","0,08",0,0,1
59,"0,87","0,05","0,08",0,0,1
60,"0,87","0,04","0,09",0,0,1
61,"0,87","0,04","0,09",0,0,1
62,"0,87","0,04","0,09",0,0,1
63,"0,87","0,04","0,09",0,0,1
64,"0,87","0,04","0,09",0,0,1
65,"0,09",0,"0,01","0,86","0,04",1
66,"0,09",0,"0,01","0,86","0,04",1
67,"0,09",0,"0,01","0,86","0,04",1
68,"0,09",0,"0,01","0,86","0,04",1
69,"0,09",0,"0,01","0,86","0,04",1
70,"0,08",0,"0,02","0,86","0,04",1
71,"0,08",0,"0,02","0,86","0,04",1
72,"0,08",0,"0,02","0,86","0,04",1
73,"0,08",0,"0,02","0,86","0,04",1
74,"0,08",0,"0,02","0,86","0,04",1
75,"0,04",0,"0,01","0,91","0,04",1
76,"0,04",0,"0,01","0,91","0,04",1
77,"0,04",0,"0,01","0,91","0,04",1
78,"0,04",0,"0,01","0,91","0,04",1
79,"0,04",0,"0,01","0,91","0,04",1