Alter,Alter_Anteil_Mann,Alter_Anteil_Frau
18,"0,517","0,483"
19,"0,517","0,483"
20,"0,521","0,479"
21,"0,521","0,479"
22,"0,521","0,479"
23,"0,521","0,479"
24,"0,521","0,479"
25,"0,521","0,479"
26,"0,521","0,479"
27,"0,521","0,479"
28,"0,521","0,479"
29,"0,521","0,479"
30,"0,511","0,489"
31,"0,511","0,489"
32,"0,511","0,489"
33,"0,511","0,489"
34,"0,511","0,489"
35,"0,511","0,489"
36,"0,511","0,489"
37,"0,511","0,489"
38,"0,511","0,489"
39,"0,511","0,489"
40,"0,504","0,496"
41,"0,504","0,496"
42,"0,504","0,496"
43,"0,504","0,496"
44,"0,504","0,496"
45,"0,504","0,496"
46,"0,504","0,496"
47,"0,504","0,496"
48,"0,504","0,496"
49,"0,504","0,496"
50,"0,502","0,498"
51,"0,502","0,498"
52,"0,502","0,498"
53,"0,502","0,498"
54,"0,502","0,498"
55,"0,502","0,498"
56,"0,502","0,498"
57,"0,502","0,498"
58,"0,502","0,498"
59,"0,502","0,498"
60,"0,484","0,516"
61,"0,484","0,516"
62,"0,484","0,516"
63,"0,484","0,516"
64,"0,484","0,516"
65,"0,484","0,516"
66,"0,484","0,516"
67,"0,484","0,516"
68,"0,484","0,516"
69,"0,484","0,516"
70,"0,456","0,544"
71,"0,456","0,544"
72,"0,456","0,544"
73,"0,456","0,544"
74,"0,456","0,544"
75,"0,456","0,544"
76,"0,456","0,544"
77,"0,456","0,544"
78,"0,456","0,544"
79,"0,456","0,544"