Alter,Anzahl
<1,737.780
1,816.186
2,800.812
3,809.359
4,824.544
5,832.873
6,838.586
7,814.051
8,806.355
9,778.912
10,777.841
11,760.690
12,777.955
13,767.132
14,785.901
15,779.567
16,766.759
17,776.420
18,800.371
19,808.979
20,835.379
21,866.911
22,920.768
23,939.435
24,967.234
25,1.008.816
26,1.002.870
27,985.773
28,996.246
29,1.022.711
30,1.037.159
31,1.069.698
32,1.160.820
33,1.144.607
34,1.169.014
35,1.142.682
36,1.122.276
37,1.086.924
38,1.078.534
39,1.078.631
40,1.095.007
41,1.083.334
42,1.086.248
43,1.032.747
44,1.016.097
45,1.004.229
46,983.351
47,956.283
48,965.550
49,969.879
50,1.045.286
51,1.142.988
52,1.180.662
53,1.261.957
54,1.316.302
55,1.344.789
56,1.374.952
57,1.372.620
58,1.392.544
59,1.374.228
60,1.324.932
61,1.297.597
62,1.247.462
63,1.203.379
64,1.128.835
65,1.093.006
66,1.053.177
67,1.010.953
68,981.855
69,940.615
70,929.155
71,899.169
72,887.427
73,845.881
74,759.396
75,701.311
76,597.377
77,513.256
78,670.318
79,664.178
80,624.797
81,732.111
82,735.288
83,687.916
84,600.054
> 85 Jahre ,2.732.786